SN	Frequency	Word
1	46471	में
2	22405	है
3	18164	हैं
4	13729	नहीं
5	8188	लिए
6	6356	गया
7	5781	तथा
8	4745	अपने
9	4399	कुछ
10	4203	होता
11	3970	था
12	3730	दिया
13	3535	हुए
14	3394	कोई
15	3337	रूप
16	3307	से
17	3249	मैं
18	3204	रहा
19	3092	हुआ
20	2870	बात
21	2826	कहा
22	2758	समय
23	2711	अपनी
24	2659	होती
25	2583	प्रकार
26	2539	बहुत
27	2471	तरह
28	2461	बाद
29	2416	फिर
30	2369	रहे
31	2337	द्वारा
32	2292	रही
33	2289	होने
34	2222	एवं
35	2213	हुई
36	2147	थे
37	2089	उनके
38	2042	थी
39	1968	चाहिए
40	1966	दिन
41	1923	लेकिन
42	1865	काम
43	1854	हूँ
44	1825	होते
45	1789	इसके
46	1778	उन्हें
47	1737	गये
48	1728	कभी
49	1717	लोग
50	1689	बार
51	1665	यहाँ
52	1606	दोनों
53	1555	उन्होंने
54	1499	कार्य
55	1457	पास
56	1449	वहाँ
57	1415	लिया
58	1406	प्राप्त
59	1406	उनकी
60	1365	लोगों
61	1359	गयी
62	1356	लगा
63	1351	अन्य
64	1349	होगा
65	1347	इसी
66	1346	देश
67	1335	यदि
68	1330	सभी
69	1330	नाम
70	1315	वर्ष
71	1224	ऐसा
72	1221	विकास
73	1191	अपना
74	1183	ऐसे
75	1182	दूसरे
76	1162	हाथ
77	1162	भाषा
78	1118	मेरे
79	1115	मैंने
80	1103	तुम
81	1080	बीच
82	1045	बड़े
83	1043	प्रति
84	1034	व्यक्ति
85	1034	उनका
86	1029	लिये
87	1025	इसलिए
88	1024	तीन
89	1024	इसका
90	1013	ऐसी
91	982	विशेष
92	981	बड़ी
93	978	अथवा
94	962	भाग
95	953	क्योंकि
96	937	सिंह
97	927	ठीक
98	922	स्थिति
99	915	परन्तु
100	914	स्थान
101	897	क्यों
102	894	गाँव
103	888	राज्य
104	881	अलग
105	880	लेकर
106	876	अभी
107	864	इसमें
108	856	सी
109	855	विचार
110	853	जिस
111	852	बाहर
112	849	ऊपर
113	848	बना
114	839	तैयार
115	838	अनेक
116	832	सामने
117	827	शिक्षा
118	825	शरीर
119	817	होकर
120	817	दृष्टि
121	798	थीं
122	794	दूर
123	787	शब्द
124	782	ध्यान
125	782	चार
126	781	मेरी
127	779	बड़ा
128	761	पता
129	758	लगता
130	758	आगे
131	755	किया
132	753	उत्तर
133	747	किन्तु
134	742	आने
135	736	लगे
136	734	लगभग
137	734	इसे
138	728	लाख
139	711	होना
140	708	इससे
141	702	मात्रा
142	702	अध्ययन
143	701	जिसमें
144	690	नीचे
145	689	अर्थ
146	687	लोक
147	678	आवश्यक
148	674	हो
149	671	माँ
150	669	छोटे
151	667	प्रतिशत
152	665	शुरू
153	665	अगर
154	657	आया
155	648	होगी
156	648	मिल
157	647	स्वयं
158	646	रात
159	638	हमें
160	633	उपयोग
161	631	किए
162	625	महत्वपूर्ण
163	624	मुख्य
164	621	साल
165	620	ज्यादा
166	614	साहित्य
167	607	पूर्व
168	607	निर्माण
169	606	विषय
170	606	जिससे
171	604	देख
172	602	चित्र
173	596	लगी
174	594	प्रत्येक
175	592	मनुष्य
176	591	गई
177	586	स्पष्ट
178	582	दिनों
179	579	रंग
180	579	इसकी
181	578	स्तर
182	570	मेरा
183	570	दूसरी
184	570	अच्छा
185	568	रोग
186	562	काल
187	557	विज्ञान
188	557	भाई
189	555	ज्ञान
190	554	दिल्ली
191	550	बनाने
192	547	रुपये
193	542	रखा
194	541	आवश्यकता
195	538	आता
196	533	आर्थिक
197	530	सहायता
198	528	अतिरिक्त
199	526	देर
200	516	लेने
201	509	चला
202	508	सामाजिक
203	507	समझ
204	507	मगर
205	502	आते
206	497	बच्चे
207	494	कला
208	491	पत्र
209	478	भीतर
210	477	संस्कृति
211	473	उनमें
212	472	वर्ग
213	470	विभाग
214	470	चाहता
215	468	सिर
216	468	बताया
217	466	जगह
218	456	राष्ट्रीय
219	455	स्वर
220	455	क्षेत्रों
221	453	जिसके
222	451	जन्म
223	449	जाए
224	444	हाँ
225	444	जनता
226	441	किस
227	441	केन्द्र
228	440	साहब
229	439	पूर्ण
230	437	पुलिस
231	435	बोला
232	433	थईआ
233	432	कमी
234	425	समस्या
235	425	कार्यक्रम
236	422	विवाह
237	421	भूमि
238	420	भाव
239	420	देखकर
240	419	करोड़
241	417	प्रथम
242	416	मूल
243	414	परिवर्तन
244	410	बच्चों
245	409	लाभ
246	409	आये
247	407	छोटी
248	402	स्त्री
249	401	सेवा
250	401	व्यवहार
251	401	राम
252	401	रचना
253	398	की
254	397	भिन्न
255	396	मिट्टी
256	396	देशों
257	396	इनके
258	396	आती
259	394	सही
260	394	उपलब्ध
261	390	बल्कि
262	389	प्राय
263	386	बिजली
264	385	लेते
265	385	जान
266	381	बढ़
267	380	शायद
268	379	सरकारी
269	378	पड़
270	378	चुका
271	376	पड़ा
272	375	विधि
273	375	छोड़
274	374	लिखा
275	373	सिर्फ
276	370	दर्शन
277	369	प्रक्रिया
278	368	दिखाई
279	368	कुल
280	366	शब्दों
281	366	लाल
282	366	निकल
283	366	नये
284	364	रखने
285	364	पंजाब
286	364	नदी
287	363	गए
288	361	मृत्यु
289	358	स्वीकार
290	355	अन्तरिक्ष
291	354	आकर
292	353	याद
293	352	उठा
294	351	दूध
295	351	कांग्रेस
296	349	माध्यम
297	349	दूसरा
298	348	संबंध
299	348	जिन
300	348	चाहे
301	347	चाहते
302	345	प्रणाली
303	345	तभी
304	344	होंगे
305	343	इनमें
306	342	सन
307	342	मान
308	341	पुत्र
309	341	उद्देश्य
310	340	विश्वास
311	339	पिछले
312	338	ताकि
313	337	जिसका
314	336	जानकारी
315	335	नेता
316	334	बालक
317	332	अन्त
318	331	उचित
319	329	संगीत
320	329	जल्दी
321	329	क्षमता
322	328	हजार
323	327	जाएगा
324	325	बनाया
325	325	पति
326	325	कोशिश
327	323	चुके
328	323	खाने
329	322	फसल
330	322	प्रकृति
331	321	पौधों
332	321	प्रकट
333	321	पक्ष
334	321	नीति
335	320	यद्यपि
336	319	मात्र
337	319	भारी
338	319	पुस्तकालय
339	319	चले
340	318	समिति
341	317	सामग्री
342	317	चाहिये
343	315	माल
344	314	शामिल
345	312	बोली
346	312	उनसे
347	312	अपेक्षा
348	311	हेतु
349	310	नगर
350	310	दिये
351	307	पुस्तक
352	305	वर्णन
353	304	बने
354	304	जोर
355	304	करें
356	302	लक्षण
357	300	तुम्हारे
358	299	विश्व
359	298	शासन
360	298	युग
361	298	बैठ
362	297	स्थापना
363	296	लेता
364	296	लगती
365	295	शैली
366	295	लें
367	295	पार्टी
368	295	गीत
369	295	अवसर
370	293	युद्ध
371	292	मालूम
372	292	चारों
373	291	प्रकाश
374	290	जायेगा
375	289	बैठे
376	289	तुम्हें
377	288	समाप्त
378	287	साफ
379	287	धार्मिक
380	287	ताप
381	287	उल्लेख
382	286	वर्तमान
383	285	लेना
384	285	थोड़ी
385	285	इनका
386	284	विकसित
387	282	विशिष्ट
388	282	प्रेम
389	281	चली
390	280	रखते
391	280	भावना
392	280	चलता
393	278	चित्रों
394	277	पुरुष
395	277	पदार्थ
396	277	चर्चा
397	277	खाना
398	275	उच्च
399	274	दी
400	274	दिए
401	273	सीमा
402	273	वस्तु
403	273	पड़ी
404	273	गति
405	273	अत्यन्त
406	272	संगठन
407	271	इस्तेमाल
408	270	बाबा
409	270	प्रकाशित
410	269	ढंग
411	269	अधिकार
412	267	पड़े
413	266	सके
414	265	सूचना
415	263	सुन्दर
416	263	केंद्रीय
417	263	आधुनिक
418	262	शहर
419	261	प्रधानमंत्री
420	260	ब्राह्मण
421	260	उनको
422	259	महीने
423	257	हवा
424	257	शाम
425	256	संसार
426	255	विरोध
427	255	रखना
428	255	प्रशिक्षण
429	254	संघ
430	254	बनी
431	254	पृथ्वी
432	254	ऊर्जा
433	250	हमने
434	250	वास्तविक
435	249	सहयोग
436	248	तेल
437	248	अवधि
438	247	सात
439	247	लगते
440	247	मार्ग
441	247	बंद
442	246	संघर्ष
443	246	दिशा
444	245	बैठा
445	244	वर्षों
446	243	शादी
447	243	वातावरण
448	243	तुलना
449	242	राजीव
450	241	साधारण
451	241	सम्पूर्ण
452	241	राजस्थान
453	240	कितने
454	239	वापस
455	239	मानसिक
456	239	परम्परा
457	238	बोले
458	238	बीज
459	238	खेल
460	238	अंग
461	237	जरूरत
462	237	ग्रामीण
463	237	इनकी
464	236	कथा
465	236	आयु
466	234	बातचीत
467	234	निर्धारित
468	234	निकाल
